A1,A2,A3,A4,Activity
0.343,0.351,0.146,0.160,108.2
0.073,0.408,0.090,0.428,136
0.391,0.290,0.159,0.160,107.2
0.350,0.153,0.213,0.283,117.3
0.272,0.240,0.305,0.183,128.1
0.132,0.330,0.187,0.352,108.2
0.048,0.037,0.318,0.597,95
0.341,0.048,0.198,0.413,129
0.127,0.133,0.262,0.478,149.3
0.384,0.146,0.113,0.356,161.3
0.268,0.523,0.067,0.142,112.4
0.343,0.047,0.387,0.223,148.4
0.177,0.545,0.235,0.043,85.3
0.290,0.470,0.172,0.068,111.1
0.507,0.176,0.140,0.176,104.8
0.120,0.381,0.393,0.106,96.9
0.348,0.063,0.195,0.393,132.2
0.338,0.110,0.383,0.168,140.9
0.065,0.308,0.348,0.278,73
0.311,0.028,0.269,0.392,136
0.388,0.335,0.153,0.123,116.9
0.243,0.111,0.308,0.338,138.9
0.020,0.268,0.353,0.358,48.1
0.271,0.131,0.569,0.028,116
0.283,0.408,0.280,0.028,87.8
0.192,0.270,0.205,0.332,131
0.303,0.218,0.137,0.342,139.4
0.362,0.087,0.115,0.436,149
0.110,0.355,0.103,0.432,121.6
0.235,0.264,0.245,0.255,115
0.213,0.118,0.318,0.350,133.8
0.282,0.178,0.260,0.280,144.3
0.409,0.078,0.386,0.127,128.3
0.305,0.247,0.020,0.428,168.9
0.425,0.070,0.057,0.448,155.1
0.177,0.531,0.185,0.107,110.8
0.277,0.093,0.503,0.127,136
0.453,0.048,0.002,0.497,149.3
0.172,0.375,0.380,0.073,103
0.195,0.387,0.285,0.133,124.8
0.390,0.380,0.200,0.030,103.6
0.183,0.313,0.277,0.227,163.4
0.080,0.235,0.197,0.488,127.3
0.225,0.240,0.282,0.253,140.1
0.305,0.242,0.190,0.263,148.2
0.130,0.193,0.367,0.310,123.2
0.270,0.193,0.213,0.323,138
0.208,0.262,0.182,0.348,129.4
0.205,0.127,0.493,0.175,147.5
0.032,0.123,0.408,0.437,172
0.278,0.267,0.163,0.292,194.1
0.228,0.063,0.332,0.377,201.9
0.192,0.183,0.303,0.322,180.9
0.797,0.008,0.188,0.007,124.5
0.358,0.060,0.303,0.278,189.6
0.312,0.180,0.155,0.352,167.6
0.182,0.773,0.035,0.010,111.8
